Date,MedianHouseholdIncome
7/1/2010,49280
8/1/2010,49280
9/1/2010,49280
10/1/2010,49280
11/1/2010,49280
12/1/2010,49280
1/1/2011,50050
2/1/2011,50050
3/1/2011,50050
4/1/2011,50050
5/1/2011,50050
6/1/2011,50050
7/1/2011,50050
8/1/2011,50050
9/1/2011,50050
10/1/2011,50050
11/1/2011,50050
12/1/2011,50050
1/1/2012,51020
2/1/2012,51020
3/1/2012,51020
4/1/2012,51020
5/1/2012,51020
6/1/2012,51020
7/1/2012,51020
8/1/2012,51020
9/1/2012,51020
10/1/2012,51020
11/1/2012,51020
12/1/2012,51020
1/1/2013,53590
2/1/2013,53590
3/1/2013,53590
4/1/2013,53590
5/1/2013,53590
6/1/2013,53590
7/1/2013,53590
8/1/2013,53590
9/1/2013,53590
10/1/2013,53590
11/1/2013,53590
12/1/2013,53590
1/1/2014,53660
2/1/2014,53660
3/1/2014,53660
4/1/2014,53660
5/1/2014,53660
6/1/2014,53660
7/1/2014,53660
8/1/2014,53660
9/1/2014,53660
10/1/2014,53660
11/1/2014,53660
12/1/2014,53660
1/1/2015,56520
2/1/2015,56520
3/1/2015,56520
4/1/2015,56520
5/1/2015,56520
6/1/2015,56520
7/1/2015,56520
8/1/2015,56520
9/1/2015,56520
10/1/2015,56520
11/1/2015,56520
12/1/2015,56520
1/1/2016,59040
2/1/2016,59040
3/1/2016,59040
4/1/2016,59040
5/1/2016,59040
6/1/2016,59040
7/1/2016,59040
8/1/2016,59040
9/1/2016,59040
10/1/2016,59040
11/1/2016,59040
12/1/2016,59040
1/1/2017,61140
2/1/2017,61140
3/1/2017,61140
4/1/2017,61140
5/1/2017,61140
6/1/2017,61140
7/1/2017,61140
8/1/2017,61140
9/1/2017,61140
10/1/2017,61140
11/1/2017,61140
12/1/2017,61140
1/1/2018,63180
2/1/2018,63180
3/1/2018,63180
4/1/2018,63180
5/1/2018,63180
6/1/2018,63180
7/1/2018,63180
8/1/2018,63180
9/1/2018,63180
10/1/2018,63180
11/1/2018,63180
12/1/2018,63180
1/1/2019,68700
2/1/2019,68700
3/1/2019,68700
4/1/2019,68700
5/1/2019,68700
6/1/2019,68700
7/1/2019,68700
8/1/2019,68700
9/1/2019,68700
10/1/2019,68700
11/1/2019,68700
12/1/2019,68700
1/1/2020,68010
2/1/2020,68010
3/1/2020,68010
4/1/2020,68010
5/1/2020,68010
6/1/2020,68010
7/1/2020,68010
8/1/2020,68010
9/1/2020,68010
10/1/2020,68010
11/1/2020,68010
12/1/2020,68010
1/1/2021,70780
2/1/2021,70780
3/1/2021,70780
4/1/2021,70780
5/1/2021,70780
6/1/2021,70780
7/1/2021,70780
8/1/2021,70780
9/1/2021,70780
10/1/2021,70780
11/1/2021,70780
12/1/2021,70780
1/1/2022,74580
2/1/2022,74580
3/1/2022,74580
4/1/2022,74580
5/1/2022,74580
6/1/2022,74580
7/1/2022,74580
8/1/2022,74580
9/1/2022,74580
10/1/2022,74580
11/1/2022,74580
12/1/2022,74580
1/1/2023,80610
2/1/2023,80610
3/1/2023,80610
4/1/2023,80610
5/1/2023,80610
6/1/2023,80610
7/1/2023,80610
8/1/2023,80610
9/1/2023,80610
10/1/2023,80610
11/1/2023,80610
12/1/2023,80610
1/1/2024,83730
