Date,Population
8/1/2010,310146
9/1/2010,310385
10/1/2010,310612
11/1/2010,310820
12/1/2010,311020
1/1/2011,311204
2/1/2011,311373
3/1/2011,311551
4/1/2011,311740
5/1/2011,311935
6/1/2011,312147
7/1/2011,312372
8/1/2011,312605
9/1/2011,312842
10/1/2011,313060
11/1/2011,313260
12/1/2011,313454
1/1/2012,313636
2/1/2012,313811
3/1/2012,313993
4/1/2012,314176
5/1/2012,314368
6/1/2012,314576
7/1/2012,314796
8/1/2012,315031
9/1/2012,315264
10/1/2012,315485
11/1/2012,315692
12/1/2012,315877
1/1/2013,316038
2/1/2013,316191
3/1/2013,316357
4/1/2013,316535
5/1/2013,316729
6/1/2013,316934
7/1/2013,317156
8/1/2013,317397
9/1/2013,317635
10/1/2013,317864
11/1/2013,318076
12/1/2013,318276
1/1/2014,318464
2/1/2014,318642
3/1/2014,318827
4/1/2014,319020
5/1/2014,319225
6/1/2014,319438
7/1/2014,319670
8/1/2014,319919
9/1/2014,320166
10/1/2014,320403
11/1/2014,320616
12/1/2014,320815
1/1/2015,320997
2/1/2015,321164
3/1/2015,321344
4/1/2015,321538
5/1/2015,321740
6/1/2015,321954
7/1/2015,322186
8/1/2015,322427
9/1/2015,322670
10/1/2015,322901
11/1/2015,323113
12/1/2015,323318
1/1/2016,323509
2/1/2016,323687
3/1/2016,323871
4/1/2016,324061
5/1/2016,324260
6/1/2016,324476
7/1/2016,324697
8/1/2016,324924
9/1/2016,325155
10/1/2016,325368
11/1/2016,325562
12/1/2016,325742
1/1/2017,325901
2/1/2017,326050
3/1/2017,326207
4/1/2017,326371
5/1/2017,326548
6/1/2017,326743
7/1/2017,326939
8/1/2017,327140
9/1/2017,327342
10/1/2017,327528
11/1/2017,327699
12/1/2017,327848
1/1/2018,327969
2/1/2018,328085
3/1/2018,328219
4/1/2018,328364
5/1/2018,328521
6/1/2018,328692
7/1/2018,328863
8/1/2018,329040
9/1/2018,329216
10/1/2018,329379
11/1/2018,329527
12/1/2018,329659
1/1/2019,329766
2/1/2019,329862
3/1/2019,329977
4/1/2019,330103
5/1/2019,330240
6/1/2019,330393
7/1/2019,330553
8/1/2019,330729
9/1/2019,330904
10/1/2019,331066
11/1/2019,331213
12/1/2019,331345
1/1/2020,331443
2/1/2020,331525
3/1/2020,331668
4/1/2020,331750
5/1/2020,331752
6/1/2020,331795
7/1/2020,331862
8/1/2020,331936
9/1/2020,332017
10/1/2020,332092
11/1/2020,332130
12/1/2020,332113
1/1/2021,332059
2/1/2021,332035
3/1/2021,332074
4/1/2021,332141
5/1/2021,332212
6/1/2021,332300
7/1/2021,332454
8/1/2021,332641
9/1/2021,332801
10/1/2021,332955
11/1/2021,333109
12/1/2021,333251
1/1/2022,333349
2/1/2022,333444
3/1/2022,333595
4/1/2022,333776
5/1/2022,333958
6/1/2022,334147
7/1/2022,334370
8/1/2022,334628
9/1/2022,334885
10/1/2022,335125
11/1/2022,335354
12/1/2022,335569
1/1/2023,335770
2/1/2023,335975
3/1/2023,336189
4/1/2023,336406
5/1/2023,336632
6/1/2023,336875
7/1/2023,337147
8/1/2023,337443
9/1/2023,337738
10/1/2023,338021
11/1/2023,338295
12/1/2023,338550
1/1/2024,338787
2/1/2024,339029
3/1/2024,339288
4/1/2024,339554
5/1/2024,339828
6/1/2024,340108
7/1/2024,340335
8/1/2024,340512
9/1/2024,340688
10/1/2024,340855
11/1/2024,341011
12/1/2024,341149
1/1/2025,341268
2/1/2025,341378
3/1/2025,341496
4/1/2025,341632
5/1/2025,341784
6/1/2025,341945
7/1/2025,342076
8/1/2025,342178
9/1/2025,342277
10/1/2025,342366
11/1/2025,342439
12/1/2025,342495
