Date,MortgageRate
3/1/2008,5.97
4/1/2008,5.918
5/1/2008,6.036
6/1/2008,6.32
7/1/2008,6.426
8/1/2008,6.478
9/1/2008,6.038
10/1/2008,6.2
11/1/2008,6.088
12/1/2008,5.286
1/1/2009,5.047
2/1/2009,5.13
3/1/2009,5.002
4/1/2009,4.81
5/1/2009,4.858
6/1/2009,5.42
7/1/2009,5.222
8/1/2009,5.192
9/1/2009,5.058
10/1/2009,4.952
11/1/2009,4.875
12/1/2009,4.93
1/1/2010,5.03
2/1/2010,4.99
3/1/2010,4.968
4/1/2010,5.098
5/1/2010,4.888
6/1/2010,4.738
7/1/2010,4.564
8/1/2010,4.428
9/1/2010,4.346
10/1/2010,4.225
11/1/2010,4.3
12/1/2010,4.714
1/1/2011,4.755
2/1/2011,4.952
3/1/2011,4.836
4/1/2011,4.84
5/1/2011,4.638
6/1/2011,4.51
7/1/2011,4.545
8/1/2011,4.27
9/1/2011,4.106
10/1/2011,4.068
11/1/2011,3.992
12/1/2011,3.958
1/1/2012,3.915
2/1/2012,3.89
3/1/2012,3.954
4/1/2012,3.91
5/1/2012,3.798
6/1/2012,3.675
7/1/2012,3.55
8/1/2012,3.602
9/1/2012,3.498
10/1/2012,3.383
11/1/2012,3.352
12/1/2012,3.345
1/1/2013,3.414
2/1/2013,3.532
3/1/2013,3.565
4/1/2013,3.445
5/1/2013,3.536
6/1/2013,4.07
7/1/2013,4.37
8/1/2013,4.456
9/1/2013,4.49
10/1/2013,4.192
11/1/2013,4.255
12/1/2013,4.458
1/1/2014,4.432
2/1/2014,4.302
3/1/2014,4.342
4/1/2014,4.338
5/1/2014,4.192
6/1/2014,4.162
7/1/2014,4.13
8/1/2014,4.115
9/1/2014,4.162
10/1/2014,4.036
11/1/2014,3.998
12/1/2014,3.864
1/1/2015,3.67
2/1/2015,3.71
3/1/2015,3.77
4/1/2015,3.672
5/1/2015,3.84
6/1/2015,3.982
7/1/2015,4.046
8/1/2015,3.905
9/1/2015,3.89
10/1/2015,3.796
11/1/2015,3.942
12/1/2015,3.964
1/1/2016,3.872
2/1/2016,3.66
3/1/2016,3.694
4/1/2016,3.605
5/1/2016,3.6
6/1/2016,3.568
7/1/2016,3.44
8/1/2016,3.435
9/1/2016,3.46
10/1/2016,3.47
11/1/2016,3.77
12/1/2016,4.198
1/1/2017,4.15
2/1/2017,4.168
3/1/2017,4.196
4/1/2017,4.045
5/1/2017,4.01
6/1/2017,3.904
7/1/2017,3.968
8/1/2017,3.88
9/1/2017,3.805
10/1/2017,3.895
11/1/2017,3.922
12/1/2017,3.95
1/1/2018,4.033
2/1/2018,4.33
3/1/2018,4.444
4/1/2018,4.468
5/1/2018,4.586
6/1/2018,4.57
7/1/2018,4.528
8/1/2018,4.55
9/1/2018,4.627
10/1/2018,4.83
11/1/2018,4.866
12/1/2018,4.638
1/1/2019,4.464
2/1/2019,4.37
3/1/2019,4.265
4/1/2019,4.142
5/1/2019,4.072
6/1/2019,3.802
7/1/2019,3.765
8/1/2019,3.616
9/1/2019,3.605
10/1/2019,3.688
11/1/2019,3.695
12/1/2019,3.72
1/1/2020,3.624
2/1/2020,3.465
3/1/2020,3.45
4/1/2020,3.306
5/1/2020,3.232
6/1/2020,3.162
7/1/2020,3.016
8/1/2020,2.935
9/1/2020,2.89
10/1/2020,2.834
11/1/2020,2.765
12/1/2020,2.684
1/1/2021,2.735
2/1/2021,2.81
3/1/2021,3.082
4/1/2021,3.06
5/1/2021,2.962
6/1/2021,2.975
7/1/2021,2.868
8/1/2021,2.843
9/1/2021,2.9
10/1/2021,3.068
11/1/2021,3.068
12/1/2021,3.098
1/1/2022,3.445
2/1/2022,3.762
3/1/2022,4.172
4/1/2022,4.982
5/1/2022,5.23
6/1/2022,5.522
7/1/2022,5.412
8/1/2022,5.222
9/1/2022,6.112
10/1/2022,6.9
11/1/2022,6.805
12/1/2022,6.364
1/1/2023,6.272
2/1/2023,6.258
3/1/2023,6.544
4/1/2023,6.342
5/1/2023,6.425
6/1/2023,6.714
7/1/2023,6.84
8/1/2023,7.072
9/1/2023,7.2
10/1/2023,7.62
11/1/2023,7.442
12/1/2023,6.815
1/1/2024,6.642
2/1/2024,6.776
3/1/2024,6.82
4/1/2024,6.992
5/1/2024,7.06
6/1/2024,6.918
7/1/2024,6.848
8/1/2024,6.5
9/1/2024,6.18
10/1/2024,6.428
11/1/2024,6.805
12/1/2024,6.715
1/1/2025,6.958
2/1/2025,6.842
3/1/2025,6.65
4/1/2025,6.725
5/1/2025,6.816
6/1/2025,6.818
7/1/2025,6.72
8/1/2025,6.588
9/1/2025,6.352
10/1/2025,6.254
11/1/2025,6.238
